,index,g_id,g_name,drpo_ConfiguredRPO,drpol_CurrentRPO,drpol_Deviation,CPU-Usage (%),Memory-Usage (%),Network-Usage Rate (KBps),Disk-Read IOPS,Disk-Read Latency (ms),Disk-Total IOPS,Disk-Total Latency (ms),Disk-Total Throughput (KBps),Disk-Write IOPS,Disk-Write Latency (ms),Disk-Read Throughput (KBps),Disk-Write Throughput (KBps)
3991,2021-01-20 03:20:00,177,RG_apprdotmOLTPdb,7200,46,0,1.34266662597656,37.9900016784668,10.8666667938232,686.266662597656,0.597325325012207,692.666687011719,0.605627179145813,94688.265625,6.40000009536743,2.61645030975342,94658.3359375,34.1333351135254
3992,2021-01-20 03:30:00,177,RG_apprdotmOLTPdb,7200,46,0,1.45333337783813,37.3899993896484,11.6666669845581,790.066650390625,0.649818599224091,798.466674804688,0.657716155052185,101574,8.39999961853027,1.13965702056885,101530.3984375,48.2666664123535
3993,2021-01-20 03:40:00,177,RG_apprdotmOLTPdb,7200,46,0,1.46066665649414,57.5900001525879,10.7333335876465,568.799987792969,0.999718725681305,592.933349609375,1.00417506694794,80767.3359375,24.1333332061768,2.41994762420654,78956,1817.93334960938
3994,2021-01-20 03:50:00,177,RG_apprdotmOLTPdb,7200,45,0,0.601999998092651,19.9233341217041,9.80000019073486,0,0,7.53333330154419,1.4761061668396,36.8666648864746,7.53333330154419,1.80547940731049,0.333333343267441,38.466667175293
3995,2021-01-20 04:00:00,177,RG_apprdotmOLTPdb,7200,45,0,0.791333317756653,3.25666666030884,12.1333332061768,144.866668701172,0.316306173801422,151.933334350586,0.3672955930233,11720.2666015625,7.06666660308838,2.62095236778259,11686.6669921875,36.1333351135254
3996,2021-01-20 04:10:00,177,RG_apprdotmOLTPdb,7200,46,0,1.32133328914642,39.723331451416,9.73333358764648,676.466674804688,0.979461908340454,682.066650390625,0.989619791507721,97115.734375,5.59999990463257,1.58651685714722,97090.9296875,28.3999996185303
3997,2021-01-20 04:20:00,177,RG_apprdotmOLTPdb,7200,47,0,1.20333337783813,34.4566650390625,18.8666667938232,879.666687011719,0.491954028606415,886.200012207031,0.499791860580444,125790.53125,6.53333330154419,2.70144939422607,125760.6640625,34.4000015258789
3998,2021-01-20 04:30:00,177,RG_apprdotmOLTPdb,7200,47,0,0.874000012874603,28.9899997711182,10.8666667938232,509.133331298828,0.309048056602478,516.799987792969,0.326427578926086,11042.6669921875,7.66666650772095,1.29585802555084,11001.8662109375,44.7333335876465
3999,2021-01-20 04:40:00,177,RG_apprdotmOLTPdb,7200,46,0,0.614000022411346,5.32333326339722,10.6666669845581,0.066666670143604,0,5.40000009536743,3.49465012550354,27.1333332061768,5.33333349227905,1.47222220897675,0.933333337306976,27.8666667938232
4000,2021-01-20 04:50:00,177,RG_apprdotmOLTPdb,7200,46,0,0.628666639328003,3.1233332157135,11.4666662216187,0,0,8.80000019073486,1.43636357784271,43.5999984741211,8.80000019073486,2.51025652885437,0.800000011920929,45.2000007629395
